_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0859,18-22,Student (Postgraduate),Arab/Middle Eastern,"7,001-12,000 AED",1-5,Once in 2-3 months,Anouk (Myntra),"Online marketplaces (Amazon, Noon, Namshi)",151-250 AED,Upcoming festival/occasion; New season or collection drop,Straight-cut; Anarkali (short flared),Georgette/Chiffon; Silk/Chanderi; Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,Embroidered/thread work,Full sleeves,Boat neck,Mid-thigh; Knee length,Palazzo pants,"Festivals (Diwali, Eid, etc.); Parties/date nights; Weekend/lounging",Campus Essentials (3 daily-wear cotton kurtis),Above 250 AED,Buy 2 Get 1 Free; Combo price lower than individual total,I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,Never - I'm confident buying online,Probably would not,festive
R0860,18-22,Self-Employed/Freelancer,South Asian,No personal income,None,Rarely/Never,Anouk (Myntra); Buy during India visits; Libas,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Physical stores/malls in UAE",30-60 AED,,A-line; Shirt-style/collar; Peplum; Asymmetric/high-low hem; Crop kurti,Muslin,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Florals,3/4th sleeves; Bell/statement sleeves,Round neck,Hip length (above mid-thigh),Jeans/denim; Palazzo pants,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)","Vibe Check Drop (1 trendy statement piece, monthly limited)",Above 250 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; Combo price lower than individual total",I follow trends closely and love experimenting with new styles,Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Probably would buy,campus
R0861,28-34,Student (School/Undergraduate),South Asian,"7,001-12,000 AED",6-12,2-3 times a month,Biba; Local UAE stores/boutiques; Instagram/WhatsApp small brands,Physical stores/malls in UAE,101-150 AED,Sale or discount offer; Saw something trending on social media; Impulse/mood shopping,Anarkali (short flared); Asymmetric/high-low hem; Crop kurti; Kaftan-style,Cotton-Linen blend,"Jewel tones (emerald, maroon, royal blue, deep purple)",Slim/body-hugging fit,Florals,Sleeveless,Shirt collar,Mid-thigh; Hip length (above mid-thigh),Jeans/denim,Parties/date nights,9-to-5 Edit (3 workwear kurtis),80-120 AED,Referral rewards; Buy 2 Get 1 Free; First-order discount,I only dress up for occasions - daily wear is minimal effort,Limited trendy options for short kurtis; No major frustrations,Never - I'm confident buying online,Probably would buy,trend
R0862,Under 18,Homemaker,Arab/Middle Eastern,"Above 20,000 AED",6-12,,Buy during India visits,WhatsApp-based sellers,151-250 AED,Upcoming festival/occasion; New season or collection drop; Impulse/mood shopping,A-line; Kaftan-style,Georgette/Chiffon; Silk/Chanderi; Muslin,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,Embroidered/thread work,Full sleeves; Bell/statement sleeves,Boat neck,Just above knee,Cigarette/straight pants; Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.)",Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,80-120 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I only dress up for occasions - daily wear is minimal effort,Poor delivery experience to UAE (slow/damaged),"Yes, frequently - it's a major concern",Probably would buy,festive
R0863,23-27,Student (Postgraduate),South Asian,,6-12,Once in 2-3 months,Local UAE stores/boutiques; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Buy from India (trips or family shipments)",Above 250 AED,Gift for someone,A-line; Anarkali (short flared),Cotton-Linen blend; Georgette/Chiffon,"Jewel tones (emerald, maroon, royal blue, deep purple)",Relaxed/loose fit,Solid/plain; Embroidered/thread work,3/4th sleeves,Keyhole/cut-out,Just above knee,Skirts; Sharara,Office/workplace; Family gatherings/dinners; Parties/date nights,None - I prefer buying single pieces,181-250 AED,Combo price lower than individual total,I have a set style - I know what works and stick to it,Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Definitely would buy,festive
R0864,23-27,Working Professional,South Asian,"12,001-20,000 AED",13-20,Once a month,Buy during India visits; Instagram/WhatsApp small brands; Libas,"Online marketplaces (Amazon, Noon, Namshi)",Above 250 AED,Need for daily/work wardrobe refresh,Shirt-style/collar; Asymmetric/high-low hem,Rayon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown)",,Florals; Mirror work/sequins,Short/half sleeves,Keyhole/cut-out,,Cigarette/straight pants,Weekend/lounging,9-to-5 Edit (3 workwear kurtis),Above 250 AED,Free delivery; Combo price lower than individual total; First-order discount,I prioritize comfort and practicality above everything,Limited trendy options for short kurtis,Never - I'm confident buying online,Definitely would buy,professional
R0865,23-27,Student (Postgraduate),Arab/Middle Eastern,"12,001-20,000 AED",6-12,2-3 times a month,Anouk (Myntra); Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE; Buy from India (trips or family shipments)",61-100 AED,Sale or discount offer; Impulse/mood shopping,Shirt-style/collar; Kaftan-style,Pure Cotton; Rayon,"Neutrals (black, white, beige, grey)",,Solid/plain,Full sleeves; Short/half sleeves,Shirt collar,Just above knee,Cigarette/straight pants,Office/workplace,9-to-5 Edit (3 workwear kurtis),Above 250 AED,Buy 2 Get 1 Free; Referral rewards,I prioritize comfort and practicality above everything,Limited trendy options for short kurtis; No major frustrations,Sometimes - depends on the brand/platform,Probably would buy,professional
R0866,35 and above,Self-Employed/Freelancer,South Asian,"3,000-7,000 AED",6-12,Once in 2-3 months,Biba; Local UAE stores/boutiques,,151-250 AED,Upcoming festival/occasion,A-line; Anarkali (short flared),Silk/Chanderi; Muslin,"Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Embroidered/thread work,Bell/statement sleeves,Round neck,Mid-thigh,Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners","Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,"Combo price lower than individual total; Flat percentage off (e.g., 20% off); Free delivery",I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Limited trendy options for short kurtis,Never - I'm confident buying online,Probably would buy,festive
R0867,18-22,Working Professional,Southeast Asian,No personal income,13-20,Once in 2-3 months,W for Woman; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Impulse/mood shopping,A-line; Asymmetric/high-low hem; Kaftan-style,Rayon,"Earthy tones (mustard, rust, olive, brown)",Regular/comfort fit,Florals,Full sleeves,Round neck; V-neck,Hip length (above mid-thigh); Just above knee,Jeans/denim,Daily college/university wear; Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; I don't need discounts - I buy if I like the product",I follow trends closely and love experimenting with new styles,Poor delivery experience to UAE (slow/damaged),Rarely - I'm usually okay with online purchases,Probably would not,campus
R0868,23-27,Self-Employed/Freelancer,South Asian,No personal income,13-20,Weekly,Meesho/unbranded sellers; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Buy from India (trips or family shipments)",61-100 AED,Sale or discount offer; Saw something trending on social media; Need for daily/work wardrobe refresh,A-line; Peplum; Crop kurti,Pure Cotton,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Geometric/abstract,Full sleeves; 3/4th sleeves,Round neck; V-neck; Boat neck,Mid-thigh,Jeans/denim,Daily college/university wear; Casual outings/errands; Parties/date nights,Campus Essentials (3 daily-wear cotton kurtis),80-120 AED,Free delivery; Buy 2 Get 1 Free; First-order discount,I prioritize comfort and practicality above everything,,Sometimes - depends on the brand/platform,Might or might not,campus
R0869,28-34,Working Professional,South Asian,"7,001-12,000 AED",1-5,Once in 2-3 months,Libas; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores)",151-250 AED,Need for daily/work wardrobe refresh,Straight-cut,Pure Cotton; Cotton-Linen blend; Muslin,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey)",Regular/comfort fit,Block print/Jaipur print; Stripes/checks,,Round neck; Mandarin/band collar; Shirt collar,Just above knee,Cigarette/straight pants,"Festivals (Diwali, Eid, etc.)",None - I prefer buying single pieces,121-180 AED,"Combo price lower than individual total; Free delivery; Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,No major frustrations,Never - I'm confident buying online,Probably would buy,minimalist
R0870,28-34,Homemaker,Arab/Middle Eastern,No personal income,1-5,Rarely/Never,I don't buy kurtis currently,Physical stores/malls in UAE,61-100 AED,Gift for someone,Straight-cut,Denim-look fabric,"Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Digital/contemporary prints,Short/half sleeves,V-neck,,Jeans/denim,I don't wear kurtis currently,None - I prefer buying single pieces,,First-order discount; I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands,Rarely - I'm usually okay with online purchases,Might or might not,non_customer
R0871,28-34,Working Professional,South Asian,"3,000-7,000 AED",13-20,2-3 times a month,Biba; Buy during India visits,Brand websites (D2C online stores),61-100 AED,Need for daily/work wardrobe refresh; New season or collection drop,Straight-cut,Pure Cotton; Cotton-Linen blend,"Pastels (peach, lavender, mint, blush)",Slim/body-hugging fit,Geometric/abstract,Short/half sleeves,Mandarin/band collar,,,Casual outings/errands,None - I prefer buying single pieces,121-180 AED,Free delivery; Combo price lower than individual total; First-order discount,I prioritize comfort and practicality above everything,Too expensive for the quality offered; Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Definitely would not,professional
R0872,18-22,Working Professional,Arab/Middle Eastern,"7,001-12,000 AED",1-5,Once a month,Libas; W for Woman; Anouk (Myntra),,101-150 AED,Need for daily/work wardrobe refresh; New season or collection drop,Shirt-style/collar; Anarkali (short flared),Pure Cotton; Rayon,"Neutrals (black, white, beige, grey)",Relaxed/loose fit,Geometric/abstract; Stripes/checks; Digital/contemporary prints,Full sleeves,Round neck; Mandarin/band collar,,Leggings/jeggings; Cigarette/straight pants,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",9-to-5 Edit (3 workwear kurtis),181-250 AED,"Flat percentage off (e.g., 20% off); Free delivery; Combo price lower than individual total",I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos,Never - I'm confident buying online,Probably would not,professional
R0873,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",More than 20,Once in 2-3 months,Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; WhatsApp-based sellers",61-100 AED,Saw something trending on social media; Impulse/mood shopping,Asymmetric/high-low hem; Crop kurti,Georgette/Chiffon; Silk/Chanderi; Denim-look fabric,"Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,Florals; Mirror work/sequins; Digital/contemporary prints,Sleeveless,Round neck; Boat neck,Just above knee,Palazzo pants; Skirts,"Office/workplace; Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Weekend/lounging","Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; First-order discount",I prioritize comfort and practicality above everything,Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Might or might not,trend
R0874,23-27,Self-Employed/Freelancer,South Asian,"7,001-12,000 AED",13-20,Rarely/Never,,Brand websites (D2C online stores),30-60 AED,Sale or discount offer; Need for daily/work wardrobe refresh,Straight-cut; A-line,Rayon,"Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey)",Flared/breezy fit,Solid/plain; Stripes/checks,Full sleeves; Short/half sleeves,Mandarin/band collar,Mid-thigh,Jeans/denim; Cigarette/straight pants,Office/workplace; Casual outings/errands; Family gatherings/dinners; Parties/date nights,None - I prefer buying single pieces,Under 80 AED,Combo price lower than individual total; First-order discount; I don't need discounts - I buy if I like the product,I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Fabric quality doesn't match product photos,Sometimes - depends on the brand/platform,Probably would buy,professional
R0875,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",More than 20,Once in 2-3 months,Local UAE stores/boutiques; Instagram/WhatsApp small brands,Brand websites (D2C online stores); Physical stores/malls in UAE; WhatsApp-based sellers,30-60 AED,Impulse/mood shopping,A-line; Peplum; Asymmetric/high-low hem,Pure Cotton,"Earthy tones (mustard, rust, olive, brown)",Slim/body-hugging fit,Florals,Full sleeves,Round neck; V-neck,Mid-thigh; Just above knee,Cigarette/straight pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners","Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Referral rewards; Combo price lower than individual total; Buy 2 Get 1 Free,I follow trends closely and love experimenting with new styles,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Definitely would buy,campus
